USER_ID,Predictions
2,Democrat
3,Democrat
6,Democrat
7,Democrat
14,Democrat
28,Republican
29,Democrat
37,Republican
44,Democrat
56,Democrat
62,Democrat
68,Democrat
72,Democrat
74,Democrat
80,Democrat
81,Republican
87,Democrat
92,Democrat
96,Democrat
100,Democrat
104,Democrat
105,Republican
108,Democrat
124,Democrat
125,Democrat
127,Republican
128,Democrat
129,Democrat
130,Democrat
139,Democrat
149,Democrat
151,Democrat
154,Democrat
158,Democrat
159,Democrat
168,Republican
177,Democrat
185,Democrat
192,Democrat
195,Democrat
198,Democrat
208,Democrat
209,Democrat
213,Republican
225,Democrat
229,Democrat
231,Democrat
236,Republican
238,Democrat
239,Democrat
240,Democrat
244,Democrat
259,Democrat
260,Democrat
264,Democrat
267,Democrat
268,Democrat
271,Democrat
272,Republican
274,Democrat
285,Democrat
286,Republican
296,Democrat
308,Democrat
310,Democrat
318,Democrat
333,Democrat
340,Democrat
342,Democrat
343,Democrat
344,Republican
345,Republican
346,Democrat
352,Democrat
354,Democrat
357,Democrat
366,Democrat
369,Democrat
380,Democrat
389,Democrat
391,Democrat
394,Democrat
396,Democrat
404,Republican
407,Democrat
422,Democrat
426,Republican
428,Democrat
429,Democrat
438,Republican
452,Democrat
462,Democrat
469,Democrat
480,Democrat
488,Democrat
489,Democrat
492,Democrat
498,Republican
505,Democrat
508,Democrat
510,Democrat
511,Democrat
512,Democrat
518,Democrat
519,Democrat
522,Republican
523,Democrat
528,Democrat
530,Democrat
543,Democrat
549,Democrat
553,Democrat
556,Democrat
558,Democrat
562,Democrat
563,Democrat
565,Democrat
567,Democrat
571,Democrat
572,Democrat
581,Republican
584,Democrat
600,Democrat
611,Democrat
617,Democrat
635,Democrat
642,Democrat
646,Democrat
648,Republican
651,Democrat
659,Democrat
661,Democrat
683,Democrat
685,Democrat
694,Democrat
699,Democrat
701,Democrat
702,Democrat
704,Democrat
713,Democrat
720,Democrat
725,Democrat
726,Republican
727,Democrat
732,Republican
733,Democrat
734,Democrat
741,Republican
747,Democrat
750,Democrat
752,Democrat
753,Republican
760,Democrat
774,Democrat
782,Democrat
803,Democrat
807,Democrat
813,Democrat
838,Democrat
839,Democrat
844,Democrat
846,Democrat
847,Democrat
863,Democrat
864,Democrat
866,Democrat
870,Republican
873,Republican
878,Democrat
883,Democrat
885,Democrat
886,Democrat
897,Republican
902,Democrat
907,Democrat
912,Democrat
914,Democrat
918,Democrat
924,Republican
932,Democrat
947,Democrat
948,Democrat
951,Democrat
958,Democrat
963,Democrat
965,Democrat
969,Democrat
973,Democrat
975,Democrat
983,Democrat
1002,Democrat
1015,Democrat
1019,Democrat
1020,Democrat
1029,Democrat
1030,Republican
1032,Democrat
1037,Republican
1048,Democrat
1050,Democrat
1053,Democrat
1056,Democrat
1057,Democrat
1062,Democrat
1067,Democrat
1071,Democrat
1073,Republican
1076,Democrat
1079,Democrat
1081,Democrat
1083,Democrat
1084,Democrat
1085,Republican
1087,Republican
1092,Democrat
1114,Republican
1117,Democrat
1124,Democrat
1129,Democrat
1133,Democrat
1148,Democrat
1151,Republican
1154,Republican
1157,Democrat
1158,Democrat
1162,Democrat
1166,Democrat
1167,Democrat
1171,Democrat
1177,Democrat
1179,Democrat
1191,Democrat
1199,Democrat
1200,Democrat
1206,Democrat
1208,Democrat
1209,Democrat
1215,Democrat
1218,Republican
1219,Democrat
1221,Democrat
1222,Democrat
1234,Democrat
1246,Democrat
1256,Democrat
1259,Democrat
1262,Democrat
1266,Republican
1284,Democrat
1288,Democrat
1298,Democrat
1301,Republican
1312,Democrat
1315,Republican
1316,Democrat
1322,Democrat
1328,Republican
1334,Republican
1342,Democrat
1344,Democrat
1362,Democrat
1364,Democrat
1367,Democrat
1371,Democrat
1374,Democrat
1381,Democrat
1383,Democrat
1402,Democrat
1409,Democrat
1416,Democrat
1421,Democrat
1427,Democrat
1429,Democrat
1431,Democrat
1440,Democrat
1442,Democrat
1446,Democrat
1451,Democrat
1452,Democrat
1464,Democrat
1472,Democrat
1473,Democrat
1474,Democrat
1484,Democrat
1490,Democrat
1497,Democrat
1499,Democrat
1503,Democrat
1511,Republican
1516,Democrat
1521,Democrat
1522,Democrat
1523,Republican
1529,Democrat
1536,Democrat
1540,Republican
1545,Democrat
1548,Democrat
1552,Democrat
1557,Democrat
1558,Democrat
1559,Democrat
1565,Democrat
1576,Democrat
1581,Republican
1592,Democrat
1594,Democrat
1600,Democrat
1604,Democrat
1613,Republican
1615,Democrat
1617,Democrat
1619,Democrat
1620,Democrat
1624,Democrat
1629,Republican
1630,Democrat
1637,Democrat
1643,Democrat
1645,Democrat
1649,Democrat
1654,Democrat
1668,Democrat
1680,Republican
1681,Republican
1683,Republican
1684,Democrat
1688,Republican
1689,Republican
1691,Democrat
1692,Democrat
1693,Democrat
1696,Democrat
1702,Democrat
1706,Democrat
1708,Democrat
1719,Democrat
1723,Democrat
1731,Republican
1734,Democrat
1736,Democrat
1748,Democrat
1750,Democrat
1751,Democrat
1757,Democrat
1763,Democrat
1766,Democrat
1767,Democrat
1776,Democrat
1782,Republican
1790,Democrat
1812,Republican
1816,Democrat
1819,Democrat
1824,Democrat
1831,Republican
1841,Democrat
1857,Democrat
1858,Republican
1860,Democrat
1873,Democrat
1876,Democrat
1878,Republican
1882,Democrat
1884,Democrat
1890,Republican
1905,Republican
1906,Republican
1913,Democrat
1918,Democrat
1921,Democrat
1925,Democrat
1936,Democrat
1940,Democrat
1941,Democrat
1947,Republican
1948,Democrat
1959,Republican
1963,Democrat
1966,Democrat
1968,Democrat
1975,Democrat
1978,Democrat
1982,Democrat
1995,Democrat
1999,Democrat
2002,Republican
2014,Democrat
2028,Democrat
2031,Democrat
2034,Republican
2036,Democrat
2037,Democrat
2040,Republican
2041,Democrat
2042,Democrat
2043,Republican
2056,Democrat
2058,Democrat
2064,Democrat
2069,Democrat
2080,Democrat
2083,Democrat
2087,Republican
2093,Democrat
2100,Democrat
2109,Republican
2113,Republican
2116,Democrat
2120,Democrat
2124,Democrat
2127,Democrat
2133,Democrat
2135,Republican
2137,Republican
2141,Democrat
2149,Democrat
2160,Democrat
2162,Democrat
2163,Democrat
2165,Democrat
2166,Democrat
2178,Democrat
2180,Democrat
2185,Democrat
2187,Democrat
2197,Democrat
2206,Democrat
2216,Democrat
2220,Democrat
2224,Democrat
2234,Democrat
2235,Democrat
2241,Democrat
2248,Republican
2259,Democrat
2262,Democrat
2274,Democrat
2275,Democrat
2298,Democrat
2304,Democrat
2307,Democrat
2309,Democrat
2312,Democrat
2324,Democrat
2335,Democrat
2336,Democrat
2338,Democrat
2348,Republican
2350,Democrat
2353,Democrat
2356,Republican
2362,Republican
2374,Republican
2377,Democrat
2378,Democrat
2379,Democrat
2386,Democrat
2390,Democrat
2398,Democrat
2402,Democrat
2405,Republican
